ID,Swahili Sentence,English Translation,Key Structure / Focus
1,Mimi ni mwalimu.,I am a teacher.,Equative ni
2,Wewe ni rafiki yangu.,You are my friend.,Possessive agreement (Class 1)
3,Huyu ni mtoto.,This is a child.,Demonstrative huyu (Class 1)
4,Watoto wanacheza.,The children are playing.,Subject prefix wa- (Class 2)
5,Mti huyu ni mrefu.,This tree is tall.,Adjective agreement (Class 3)
6,Miti hii ni mirefu.,These trees are tall.,Plural agreement (Class 4)
7,Jicho langu linauma.,My eye hurts.,Possessive/Subject li- (Class 5)
8,Meno yako ni meupe.,Your teeth are white.,Plural agreement (Class 6)
9,Kitabu kipo mezani.,The book is on the table.,Locative -ni + Class 7 agreement
10,Viti hivi vimevunjika.,These chairs are broken.,Class 8 agreement + Perfective -me-
11,Nyumba hii ni kubwa.,This house is big.,Class 9 agreement
12,Nyumba hizi ni kubwa.,These houses are big.,Class 10 agreement
13,Ukuta huu ni imara.,This wall is strong.,Class 11 agreement
14,Ufunguo upo wapi?,Where is the key?,Locative interrogative
15,Kuimba kwake ni kuzuri.,His/her singing is good.,Verbal noun (Class 15)
16,Mahali hapa ni patulivu.,This place is calm.,Locative agreement (Class 16 - Pa)
17,Ndani mnamo giza.,Inside there is darkness.,Locative agreement (Class 18 - Mu)
18,Hamna shida.,There is no problem.,Locative negative ha-m-na
19,Nina simu mkononi.,I have a phone in hand.,Present possessive na
20,Hana pesa za kutosha.,He/she has no enough money.,Negative possessive ha-na
21,Ninasoma kitabu sasa.,I am reading a book now.,Present continuous -na-
22,Alisoma kitabu jana.,He/she read a book yesterday.,Past definite -li-
23,Atasoma kitabu kesho.,He/she will read a book tomorrow.,Future tense -ta-
24,Tumeshapata chakula.,We have already gotten food.,Perfective -me- + Already -sha-
25,Unafanya nini hapa?,What are you doing here?,Interrogative nini
26,Watakuja lini nyumbani?,When will they come home?,Interrogative lini
27,Sisi tunakula wali.,We are eating rice.,Subject prefix tu-
28,Mnakunywa maji mengi.,You (plural) are drinking lots of water.,Subject prefix m- + Irregular stem -nywa
29,Wanafunzi walielewa somo.,The students understood the lesson.,Past tense wa-li-elewa
30,Nitarudi baadaye.,I will return later.,First person future ni-ta-rudi
31,Tulikaa mjini muda mrefu.,We stayed in town for a long time.,Past tense tu-li-kaa
32,Mwaka jana alitembelea Tanga.,Last year he/she visited Tanga.,Past tense a-li-tembelea
33,Mbwa analala chini.,The dog is sleeping on the floor.,Animal agreement (Class 9 -> Class 1 rules)
34,Paka anaruka ukutani.,The cat is jumping on the wall.,Animal agreement
35,Ndege inaruka angani.,The airplane is flying in the sky.,Non-animate Class 9 subject i-
36,Treni imewasili kituoni.,The train has arrived at the station.,Perfective i-me-wasili
37,Mvua inanyesha sana.,It is raining heavily.,Class 9 subject i-na-nyesha
38,Jua linawaka leo.,The sun is shining today.,Class 5 subject li-na-waka
39,Upepo unavuma kwa nguvu.,The wind is blowing strongly.,Class 11 subject u-na-vuma
40,Moto unawaka jikoni.,Fire is burning in the kitchen.,Class 3 subject u-na-waka
41,Ananipenda sana.,He/she loves me very much.,Object insert -ni- (1st person)
42,Nitakusaidia kesho.,I will help you tomorrow.,Object insert -ku- (2nd person)
43,Tulimwona sokoni.,We saw him/her at the market.,Object insert -m- (3rd person)
44,Alitualika kwenye sherehe.,He/she invited us to the party.,Object insert -tu- (1st person pl)
45,Nitawaambia ukweli.,I will tell you (plural) / them the truth.,Object insert -wa-
46,Nilikinunua kitabu hiki.,I bought this book.,Object marker -ki- (Class 7)
47,Walivivunja viti vile.,They broke those chairs.,Object marker -vi- (Class 8)
48,Mtu aliyekuja jana ameondoka.,The person who came yesterday has left.,Relative infix -ye- (Class 1)
49,Vitabu vilivyopotea vimepatikana.,The books that were lost have been found.,Relative infix -vyo- (Class 8)
50,Barua iliyoandikwa imefika.,The letter that was written has arrived.,Relative infix -yo- (Class 9)
51,Nyumba ninayokaa ni ndogo.,The house in which I live is small.,Relative marker -yo-
52,Chakula nilichokula kilikuwa kitamu.,The food that I ate was delicious.,Relative marker -cho- (Class 7)
